CASE_ID,CASE_PARTICIPANT_ID,RECEIVED_DATE,OFFENSE_CATEGORY,PRIMARY_CHARGE_FLAG,CHARGE_ID,CHARGE_VERSION_ID,CHARGE_OFFENSE_TITLE,CHARGE_COUNT,CHAPTER,ACT,SECTION,CLASS,AOIC,EVENT,EVENT_DATE,FINDING_NO_PROBABLE_CAUSE,ARRAIGNMENT_DATE,BOND_DATE_INITIAL,BOND_DATE_CURRENT,BOND_TYPE_INITIAL,BOND_TYPE_CURRENT,BOND_AMOUNT_INITIAL,BOND_AMOUNT_CURRENT,BOND_ELECTRONIC_MONITOR_FLAG_INITIAL,BOND_ELECTROINIC_MONITOR_FLAG_CURRENT,AGE_AT_INCIDENT,RACE,GENDER,INCIDENT_CITY,INCIDENT_BEGIN_DATE,INCIDENT_END_DATE,LAW_ENFORCEMENT_AGENCY,LAW_ENFORCEMENT_UNIT,ARREST_DATE,FELONY_REVIEW_DATE,FELONY_REVIEW_RESULT,UPDATED_OFFENSE_CATEGORY
773232058636,512565032738,1/27/2016 12:00:00 AM,Credit Card Cases,false,400511128519,458078354422,CONTINUING FIN CRIME ENTRPRS,2,720,5,17-10.6(h),1,0016193,Preliminary Hearing,6/8/2016 12:00:00 AM,NA,NA,01/28/2016 12:00:00 AM,01/28/2016 12:00:00 AM,D Bond,D Bond,20000,20000,NA,NA,21,Black,Male,Matteson,12/15/2015 12:00:00 AM,NA,PARK FOREST PD,NA,1/25/2016 2:45:00 PM,05/17/2016 12:00:00 AM,Approved,Residential Burglary
784453927394,524833143957,6/15/2017 12:00:00 AM,UUW - Unlawful Use of Weapon,false,412970779201,472619121554,UNLAWFUL USE OR POSSESSION OF A WEAPON BY A FELON,2,720,5,24-1.1(a),3,1214500,Indictment,7/14/2017 12:00:00 AM,NA,7/28/2017 12:00:00 AM,NA,NA,NA,NA,NA,NA,NA,NA,55,White,Male,Chicago,6/14/2017 12:00:00 AM,NA,CHICAGO PD,District 9 - Deering,6/15/2017 10:17:00 AM,06/15/2017 12:00:00 AM,Approved,UUW - Unlawful Use of Weapon
718200412833,455806284733,12/21/2011 12:00:00 AM,Other Offense,false,351586253842,401382841906,AGG RECKLESS DRVG/BODILY HARM,2,625,5,11-503(a)(1),4,0013565,Preliminary Hearing,1/19/2012 12:00:00 AM,NA,2/17/2012 12:00:00 AM,12/27/2011 12:00:00 AM,12/27/2011 12:00:00 AM,D Bond,D Bond,30000,30000,NA,NA,18,White,Male,Mount Prospect,12/20/2011 12:00:00 AM,NA,MOUNT PROSPECT PD,NA,12/20/2011 2:36:00 AM,12/26/2011 12:00:00 AM,Approved,Aggravated Battery
787824305996,528496953356,10/7/2017 12:00:00 AM,Sex Crimes,true,415478118967,475566492675,AGGRAVATED CRIMINAL SEXUAL ABUSE,1,720,5,11-1.60(b),2,0015825,Indictment,11/1/2017 12:00:00 AM,NA,11/7/2017 12:00:00 AM,10/09/2017 12:00:00 AM,10/09/2017 12:00:00 AM,D Bond,D Bond,50000,50000,NA,NA,31,White [Hispanic or Latino],Male,Wheeling,10/5/2017 12:00:00 AM,10/7/2017 12:00:00 AM,WHEELING PD,NA,10/6/2017 5:46:00 PM,10/08/2017 12:00:00 AM,Approved,Sex Crimes
801791055279,543196827744,1/28/2019 12:00:00 AM,Aggravated Battery,false,432243616209,495207783862,AGGRAVATED BATTERY,5,720,5,12-3.05(d)(5),3,0016109,Preliminary Hearing,5/10/2019 12:00:00 AM,NA,6/5/2019 12:00:00 AM,01/28/2019 12:00:00 AM,01/28/2019 12:00:00 AM,D Bond,D Bond,10000,10000,NA,NA,26,White,Male,Chicago,1/27/2019 12:00:00 AM,NA,CHICAGO PD,NA,1/27/2019 9:12:00 PM,01/28/2019 12:00:00 AM,Approved,Aggravated Battery
796776781079,538078435902,8/14/2018 12:00:00 AM,UUW - Unlawful Use of Weapon,false,425221684897,486969730193,AGGRAVATED UNLAWFUL USE OF WEAPON,13,720,5,24-1.6(a)(1),2,0012476,Indictment,9/7/2018 12:00:00 AM,NA,9/25/2018 12:00:00 AM,08/15/2018 12:00:00 AM,08/15/2018 12:00:00 AM,No Bond,No Bond,NA,NA,NA,NA,31,White,Male,Evergreen Park,8/13/2018 12:00:00 AM,NA,EVERGREEN PARK PD,NA,8/14/2018 4:00:00 PM,08/14/2018 12:00:00 AM,Approved,UUW - Unlawful Use of Weapon
765455303316,504206233294,9/3/2015 12:00:00 AM,Possession of Stolen Motor Vehicle,false,393287902043,449688459053,BURGLARY,2,720,5,19-1(a),2,1110000,Indictment,9/23/2015 12:00:00 AM,NA,10/22/2015 12:00:00 AM,09/03/2015 12:00:00 AM,09/03/2015 12:00:00 AM,D Bond,D Bond,75000,75000,NA,NA,24,Black,Male,Barrington,8/26/2015 12:00:00 AM,NA,BARRINGTON PD,NA,9/2/2015 4:00:00 PM,09/03/2015 12:00:00 AM,Approved,Possession of Stolen Motor Vehicle
757699939489,495977516543,1/9/2015 12:00:00 AM,UUW - Unlawful Use of Weapon,false,386433416708,441702315496,UNLAWFUL USE OR POSSESSION OF A WEAPON BY A FELON,4,720,5,24-1.1(a),2,0012310,Preliminary Hearing,1/28/2015 12:00:00 AM,NA,3/18/2015 12:00:00 AM,01/10/2015 12:00:00 AM,01/10/2015 12:00:00 AM,D Bond,D Bond,100000,100000,NA,NA,54,Black,Male,Chicago,1/9/2015 12:00:00 AM,NA,CHICAGO PD,District 9 - Deering,1/9/2015 7:59:00 PM,01/09/2015 12:00:00 AM,Approved,Narcotics
808922274921,550687977387,9/14/2019 12:00:00 AM,Aggravated Battery Police Officer,false,435361241315,498843317759,AGGRAVATED BATTERY,7,720,5,12-3.05(d)(4),2,0016108,Preliminary Hearing,12/6/2019 12:00:00 AM,NA,12/20/2019 12:00:00 AM,09/14/2019 12:00:00 AM,09/14/2019 12:00:00 AM,I Bond,I Bond,5000,5000,NA,NA,51,Black,Male,Broadview,9/13/2019 12:00:00 AM,NA,BROADVIEW PD,NA,9/13/2019 10:55:00 PM,09/14/2019 12:00:00 AM,Approved,Aggravated Battery Police Officer
799821413280,541222738951,11/20/2018 12:00:00 AM,Aggravated Battery Police Officer,false,427932419777,490154357533,RESIST/PC OFF/CORR/FRFTR/INJ,7,720,5,31-1(a-7),4,0014799,Preliminary Hearing,12/11/2018 12:00:00 AM,NA,12/28/2018 12:00:00 AM,11/20/2018 12:00:00 AM,11/20/2018 12:00:00 AM,D Bond,D Bond,40000,40000,NA,NA,55,Black,Male,Chicago,11/20/2018 12:00:00 AM,NA,CHICAGO PD,District 24 - Rogers Park,11/20/2018 11:23:00 AM,11/20/2018 12:00:00 AM,Approved,Aggravated Battery Police Officer
